Beer name,Beer style,Beer ABV,Brewery name,Island,Booth,Additional taprooms,Region,Actual location,Website
Trip Trop Super Fun,Fruit & Fruit Wheat Beers,6.0,TapRoom Beer Co,17,15,"","Pacific (CA, HI)","San Diego, California, United States",
PERFECT CIRCLE,American and English India Pale Ales,6.5,TapRoom Beer Co,17,15,"","Pacific (CA, HI)","San Diego, California, United States",
Southern Pecan,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",4.5,Lazy Magnolia,12,18,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Kiln, Mississippi, United States",
Timber Beast,"Fresh Hop, Imperial India Pale and Imperial Red Ales",9.0,Lazy Magnolia,12,18,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Kiln, Mississippi, United States",
Endless Summer,Wheat Beers: American & German-Style,5.5,Lazy Magnolia,12,18,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Kiln, Mississippi, United States",
Schnitz Classic Koelsch,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.5,Schnitz Ale Brewery,10,16,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Parma, Ohio, United States",https://schnitzalebrewery.com/
Poppa Pils,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Schnitz Ale Brewery,10,16,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Parma, Ohio, United States",https://schnitzalebrewery.com/
Coach Dunkel,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.2,Schnitz Ale Brewery,10,16,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Parma, Ohio, United States",https://schnitzalebrewery.com/
For Hammer Weizenbock,Wheat Beers: American & German-Style,8.0,Schnitz Ale Brewery,10,16,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Parma, Ohio, United States",https://schnitzalebrewery.com/
Wrinkle Wall Pale Mexican Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.9,6 and 40 Brewery and Taproom,1,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Lakewood, Colorado, United States",https://6and40brewery.com
Three on the Tree American IPA,American and English India Pale Ales,6.5,6 and 40 Brewery and Taproom,1,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Lakewood, Colorado, United States",https://6and40brewery.com
Christmas Tree Bourbon Barrel Aged Imperial Stout,Wood and Barrel-aged beers,11.2,6 and 40 Brewery and Taproom,1,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Lakewood, Colorado, United States",https://6and40brewery.com
300KPH Baltic Porter,Wood and Barrel-aged beers,7.6,6 and 40 Brewery and Taproom,1,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Lakewood, Colorado, United States",https://6and40brewery.com
Spa Sidekick,"Sour Ales, Brett Beers & Lambics",5.2,Spice Trade Brewery and Kitchen,12,6,"",Meet the Brewer,"Greenwood Village, Colorado, United States",Spicetradebrewing.com
Sun Temple,American and English India Pale Ales,6.5,Spice Trade Brewery and Kitchen,12,6,"",Meet the Brewer,"Greenwood Village, Colorado, United States",Spicetradebrewing.com
Sparkling Rose,Wood and Barrel-aged beers,6.4,Spice Trade Brewery and Kitchen,12,6,"",Meet the Brewer,"Greenwood Village, Colorado, United States",Spicetradebrewing.com
Mexican Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Spice Trade Brewery and Kitchen,12,6,"",Meet the Brewer,"Greenwood Village, Colorado, United States",Spicetradebrewing.com
Chai Milk Stout,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.2,Spice Trade Brewery and Kitchen,12,6,"",Meet the Brewer,"Greenwood Village, Colorado, United States",Spicetradebrewing.com
The Thirst Amendment,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.0,FlyteCo Brewing,1,23,"","Mountain (CO,UT,NV,ID,WY,MT)","DENVER, Colorado, United States",
Buffalo Theory,American and English India Pale Ales,8.5,FlyteCo Brewing,1,23,"","Mountain (CO,UT,NV,ID,WY,MT)","DENVER, Colorado, United States",
Late-A-Rye-Val,"Rye, Herb & Spice Beers",6.1,FlyteCo Brewing,1,23,"","Mountain (CO,UT,NV,ID,WY,MT)","DENVER, Colorado, United States",
Marzen Copter,"Bock, Maibock, Doppelbock & Eisbock Lagers",5.4,FlyteCo Brewing,1,23,"","Mountain (CO,UT,NV,ID,WY,MT)","DENVER, Colorado, United States",
The Cushman,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
Metalmark Marzen,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.6,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
HopTomic,"Fresh Hop, Imperial India Pale and Imperial Red Ales",8.5,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
Lubricator,"Bock, Maibock, Doppelbock & Eisbock Lagers",8.0,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
Old Diablo,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",11.0,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
HopTomic,"Fresh Hop, Imperial India Pale and Imperial Red Ales",8.5,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
Metalmark Marzen,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.6,Morgan Territory Brewing,15,18,Heavy Medal Taproom,"Pacific (CA, HI)","Tracy, California, United States",
Cold Time,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.9,Revolution Brewing,10,2,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Chicago, Illinois, United States",www.revbrew.com
Infinity-Hero,American and English India Pale Ales,7.0,Revolution Brewing,10,2,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Chicago, Illinois, United States",www.revbrew.com
Deth's Tar,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",14.8,Revolution Brewing,10,2,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Chicago, Illinois, United States",www.revbrew.com
Life Jacket,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",15.0,Revolution Brewing,10,2,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Chicago, Illinois, United States",www.revbrew.com
Deduction,Belgian-Style Ales,8.0,Taxman Brewing Co,10,20,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bargersville, Indiana, United States",
Qualified,Belgian-Style Ales,9.5,Taxman Brewing Co,10,20,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bargersville, Indiana, United States",
Bourbon Barrel Deduction,Wood and Barrel-aged beers,8.5,Taxman Brewing Co,10,20,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bargersville, Indiana, United States",
1040EZ,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,Taxman Brewing Co,10,20,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bargersville, Indiana, United States",
La Maison,Belgian-Style Ales,7.0,Taxman Brewing Co,10,20,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bargersville, Indiana, United States",
Kokomo Brown Ale,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.5,Our Brew LLC,15,21,"","Pacific (CA, HI)","Redlands, California, United States",
Hazy Pale Ale,Pales Ales and Strong Pale Ales,5.2,Our Brew LLC,15,21,"","Pacific (CA, HI)","Redlands, California, United States",
Hidden Hazy,Pales Ales and Strong Pale Ales,7.1,Our Brew LLC,15,21,"","Pacific (CA, HI)","Redlands, California, United States",
Hoppy Pils,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.2,Our Brew LLC,15,21,"","Pacific (CA, HI)","Redlands, California, United States",
Hefeweizen,Wheat Beers: American & German-Style,5.3,Live Oak Brewing Company,16,4,"","Southwest (AZ, NM,TX)","Del Valle, Texas, United States",
Pilz,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.7,Live Oak Brewing Company,16,4,"","Southwest (AZ, NM,TX)","Del Valle, Texas, United States",
Pre-War Pils,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Live Oak Brewing Company,16,4,"","Southwest (AZ, NM,TX)","Del Valle, Texas, United States",
Grodziskie,Wheat Beers: American & German-Style,3.0,Live Oak Brewing Company,16,4,"","Southwest (AZ, NM,TX)","Del Valle, Texas, United States",
Oaktoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.8,Live Oak Brewing Company,16,4,"","Southwest (AZ, NM,TX)","Del Valle, Texas, United States",
Chux,American and English India Pale Ales,8.0,Danville Brewing Company,14,20,"","Pacific (CA, HI)","Danville, California, United States",
Lagerade,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",3.8,Danville Brewing Company,14,20,"","Pacific (CA, HI)","Danville, California, United States",
Granny's Tipple,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",11.3,Danville Brewing Company,14,20,"","Pacific (CA, HI)","Danville, California, United States",
Danville IPA,American and English India Pale Ales,6.8,Danville Brewing Company,14,20,"","Pacific (CA, HI)","Danville, California, United States",
Small Batch- Intinction Sauvignon Blanc,Fruit & Fruit Wheat Beers,8.55,Russian River Brewing Company - Windsor,17,4,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
STS Pils,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.35,Russian River Brewing Company - Windsor,17,4,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Velvet Glow,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.75,Russian River Brewing Company - Windsor,17,4,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
DDH Pliny the Elder,"Fresh Hop, Imperial India Pale and Imperial Red Ales",8.0,Russian River Brewing Company - Windsor,17,4,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Peach Beer,Fruit & Fruit Wheat Beers,7.15,Russian River Brewing Company - Windsor,17,4,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.8,Altstadt Brewery,11,21,"",Meet the Brewer,"Fredericksburg, Texas, United States",www.altstadtbeer.com
Kolsch,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.8,Altstadt Brewery,11,21,"",Meet the Brewer,"Fredericksburg, Texas, United States",www.altstadtbeer.com
Hefe,Wheat Beers: American & German-Style,5.2,Altstadt Brewery,11,21,"",Meet the Brewer,"Fredericksburg, Texas, United States",www.altstadtbeer.com
Peach Radler,Fruit & Fruit Wheat Beers,3.2,Altstadt Brewery,11,21,"",Meet the Brewer,"Fredericksburg, Texas, United States",www.altstadtbeer.com
Oktoberfest,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.9,Altstadt Brewery,11,21,"",Meet the Brewer,"Fredericksburg, Texas, United States",www.altstadtbeer.com
Hey Pard' Pils,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.5,Danico Brewing Company,1,21,"","Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
"Bodey, Bodhi & Associates",American and English India Pale Ales,6.5,Danico Brewing Company,1,21,"","Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Rocky Mountain Arsenal IPA,American and English India Pale Ales,6.2,Danico Brewing Company,1,21,"","Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Her Name Was Lola,"Sour Ales, Brett Beers & Lambics",4.8,Danico Brewing Company,1,21,"","Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Front Porch Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.0,Danico Brewing Company,1,21,"","Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Juicy West,American and English India Pale Ales,6.0,Crooked Stave,1,20,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Spon,"Sour Ales, Brett Beers & Lambics",6.0,Crooked Stave,1,20,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
New Zealand Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.4,Crooked Stave,1,20,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Nightmare on Brett,"Sour Ales, Brett Beers & Lambics",9.666,Crooked Stave,1,20,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Sour Rosé,"Sour Ales, Brett Beers & Lambics",4.0,Crooked Stave,1,20,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Spon,"Sour Ales, Brett Beers & Lambics",6.0,Crooked Stave,1,20,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",
Dog Pound Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Big Dog's Brewing Co,1,8,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Las Vegas, Nevada, United States",
"Peace, Love & Hoppiness Pale Ale",Pales Ales and Strong Pale Ales,6.0,Big Dog's Brewing Co,1,8,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Las Vegas, Nevada, United States",
Red Hydrant Brown Ale,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.5,Big Dog's Brewing Co,1,8,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Las Vegas, Nevada, United States",
Knotty Dog BA Barley Wine,Wood and Barrel-aged beers,12.5,Big Dog's Brewing Co,1,8,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Las Vegas, Nevada, United States",
Magnum BA Strong Ale,Wood and Barrel-aged beers,11.5,Big Dog's Brewing Co,1,8,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Las Vegas, Nevada, United States",
Las Vegas Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Big Dog's Brewing Co,1,8,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Las Vegas, Nevada, United States",
Docta-Ron,American and English India Pale Ales,6.75,Russian River Brewing Company - Santa Rosa,17,5,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Happy Hops,Pales Ales and Strong Pale Ales,6.5,Russian River Brewing Company - Santa Rosa,17,5,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Redemption,Belgian-Style Ales,5.0,Russian River Brewing Company - Santa Rosa,17,5,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Jannemie,"Sour Ales, Brett Beers & Lambics",8.0,Russian River Brewing Company - Santa Rosa,17,5,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.75,Russian River Brewing Company - Santa Rosa,17,5,"","Pacific (CA, HI)","Windsor, California, United States",russianriverbrewing.com
Haus Lager - Helles,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Brues Alehouse Brewing Company,1,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Pueblo, Colorado, United States",
Brufestbier - Oktoberfest,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.8,Brues Alehouse Brewing Company,1,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Pueblo, Colorado, United States",
Mr. Bear - Raspberry Wheat,Fruit & Fruit Wheat Beers,5.0,Brues Alehouse Brewing Company,1,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Pueblo, Colorado, United States",
Hazy IPA,American and English India Pale Ales,6.0,Brues Alehouse Brewing Company,1,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Pueblo, Colorado, United States",
Beechwood Rauch - Smoked Lager,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.2,Brues Alehouse Brewing Company,1,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Pueblo, Colorado, United States",
The Blue,American and English India Pale Ales,7.6,Captain Fatty’s,14,18,"","Pacific (CA, HI)","Goleta, California, United States",Captainfattys.com
Calypso,"Sour Ales, Brett Beers & Lambics",4.6,Captain Fatty’s,14,18,"","Pacific (CA, HI)","Goleta, California, United States",Captainfattys.com
Mambo,"Fresh Hop, Imperial India Pale and Imperial Red Ales",8.6,Captain Fatty’s,14,18,"","Pacific (CA, HI)","Goleta, California, United States",Captainfattys.com
Pumpkinator,"Rye, Herb & Spice Beers",11.3,Saint Arnold Brewing Company,9,2,"",Meet the Brewer,"Houston, Texas, United States",
Art Car IPA,American and English India Pale Ales,7.2,Saint Arnold Brewing Company,9,2,"",Meet the Brewer,"Houston, Texas, United States",
Fancy Lawnmower Beer,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Saint Arnold Brewing Company,9,2,"",Meet the Brewer,"Houston, Texas, United States",
Oktoberfest,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",6.6,Saint Arnold Brewing Company,9,2,"",Meet the Brewer,"Houston, Texas, United States",
H-Town Pils,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.1,Saint Arnold Brewing Company,9,2,"",Meet the Brewer,"Houston, Texas, United States",
Easy Street,Wheat Beers: American & German-Style,4.6,Odell Brewing Company,3,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
Odell IPA,American and English India Pale Ales,7.0,Odell Brewing Company,3,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
Lagerado,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Odell Brewing Company,3,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
Mountain Standard IPA,American and English India Pale Ales,6.5,Odell Brewing Company,3,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
Big Sippin',"Sour Ales, Brett Beers & Lambics",8.0,Odell Brewing Company,3,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
"Sayonara, Sucka","Rye, Herb & Spice Beers",5.5,Black Market Brewing Co.,14,11,"","Pacific (CA, HI)","Temecula, California, United States",http://blackmarketbrew.com
